Year,SeriesCode,Страна ,Age,Value
2013,FB_CBK_BRCH,Switzerland,15+,47.4501631806759
2014,FB_CBK_BRCH,Switzerland,15+,46.0311464048414
2015,FB_CBK_BRCH,Switzerland,15+,44.3521566909267
2016,FB_CBK_BRCH,Switzerland,15+,42.4603560780429
2017,FB_CBK_BRCH,Switzerland,15+,40.834814834685
2018,FB_CBK_BRCH,Switzerland,15+,39.5182118499147
2019,FB_CBK_BRCH,Switzerland,15+,38.3599017010382
2020,FB_CBK_BRCH,Switzerland,15+,37.0337592669494
2021,FB_CBK_BRCH,Switzerland,15+,36.3931247569846
2004,FB_CBK_BRCH,Таджикистан,15+,4.93952764845308
2005,FB_CBK_BRCH,Таджикистан,15+,5.0622045116363
2006,FB_CBK_BRCH,Таджикистан,15+,5.09544388924857
2007,FB_CBK_BRCH,Таджикистан,15+,5.1303397539498
2008,FB_CBK_BRCH,Таджикистан,15+,5.38343575664952
2009,FB_CBK_BRCH,Таджикистан,15+,5.30353510314421
2010,FB_CBK_BRCH,Таджикистан,15+,5.53510183967784
2011,FB_CBK_BRCH,Таджикистан,15+,5.8309532014556
2020,FB_CBK_BRCH,Denmark,15+,18.6605762041807
2021,FB_CBK_BRCH,Denmark,15+,17.5185316085092
2004,FB_CBK_BRCH,Estonia,15+,18.4136469443769
2005,FB_CBK_BRCH,Estonia,15+,20.8798235654909
2006,FB_CBK_BRCH,Estonia,15+,22.6260748477545
2007,FB_CBK_BRCH,Estonia,15+,24.0225285727812
2008,FB_CBK_BRCH,Estonia,15+,23.8242805462881
2009,FB_CBK_BRCH,Estonia,15+,20.2775199006225
2010,FB_CBK_BRCH,Estonia,15+,19.4693539094905
2011,FB_CBK_BRCH,Estonia,15+,17.3520735727919
2012,FB_CBK_BRCH,Estonia,15+,16.0207786814452
2013,FB_CBK_BRCH,Estonia,15+,13.9519602504152
2014,FB_CBK_BRCH,Estonia,15+,12.3929973232935
2015,FB_CBK_BRCH,Estonia,15+,11.1491208510314
2016,FB_CBK_BRCH,Estonia,15+,10.4209709807674
2017,FB_CBK_BRCH,Estonia,15+,10.0572720872645
2018,FB_CBK_BRCH,Estonia,15+,9.67677754264113
2019,FB_CBK_BRCH,Estonia,15+,8.93170493616538
2020,FB_CBK_BRCH,Estonia,15+,7.92693527567269
2021,FB_CBK_BRCH,Estonia,15+,7.47675674507052
2004,FB_CBK_BRCH,Finland,15+,13.1694631681648
2005,FB_CBK_BRCH,Finland,15+,14.412677621839
2006,FB_CBK_BRCH,Finland,15+,16.9470925072753
